defaultBuiltInRoles,description,mode,name,signature
"[editor,publisher,architect,admin]",The Dijkstra shortest path algorithm computes the shortest (weighted) path between one node and any other node in the graph.,WRITE,gds.beta.allShortestPaths.dijkstra.mutate,"gds.beta.allShortestPaths.dijkstra.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (relationshipsWritten :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.allShortestPaths.dijkstra.mutate.estimate,"gds.beta.allShortestPaths.dijkstra.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Dijkstra shortest path algorithm computes the shortest (weighted) path between one node and any other node in the graph.,READ,gds.beta.allShortestPaths.dijkstra.stream,"gds.beta.allShortestPaths.dijkstra.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (index :: INTEGER?, sourceNode :: INTEGER?, targetNode :: INTEGER?, totalCost :: FLOAT?, nodeIds :: LIST? OF INTEGER?, costs :: LIST? OF FLOAT?, path :: PATH?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.allShortestPaths.dijkstra.stream.estimate,"gds.beta.allShortestPaths.dijkstra.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",The Dijkstra shortest path algorithm computes the shortest (weighted) path between one node and any other node in the graph.,WRITE,gds.beta.allShortestPaths.dijkstra.write,"gds.beta.allShortestPaths.dijkstra.write(graphName :: ANY?, configuration = {} :: MAP?) :: (relationshipsWritten :: INTEGER?, writeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.allShortestPaths.dijkstra.write.estimate,"gds.beta.allShortestPaths.dijkstra.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The FastRPExtended algorithm produces node embeddings via random projection of nodes and their properties,READ,gds.beta.fastRPExtended.mutate,"gds.beta.fastRPExtended.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (nodePropertiesWritten :: INTEGER?, mutateMillis :: INTEGER?, nodeCount :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",The FastRPExtended algorithm produces node embeddings via random projection of nodes and their properties,READ,gds.beta.fastRPExtended.mutate.estimate,"gds.beta.fastRPExtended.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The FastRPExtended algorithm produces node embeddings via random projection of nodes and their properties,READ,gds.beta.fastRPExtended.stats,"gds.beta.fastRPExtended.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeCount :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",The FastRPExtended algorithm produces node embeddings via random projection of nodes and their properties,READ,gds.beta.fastRPExtended.stats.estimate,"gds.beta.fastRPExtended.stats.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The FastRPExtended algorithm produces node embeddings via random projection of nodes and their properties,READ,gds.beta.fastRPExtended.stream,"gds.beta.fastRPExtended.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, embedding :: LIST? OF NUMBER?)"
"[reader,editor,publisher,architect,admin]",The FastRPExtended algorithm produces node embeddings via random projection of nodes and their properties,READ,gds.beta.fastRPExtended.stream.estimate,"gds.beta.fastRPExtended.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",The FastRPExtended algorithm produces node embeddings via random projection of nodes and their properties,WRITE,gds.beta.fastRPExtended.write,"gds.beta.fastRPExtended.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeCount :: INTEGER?, nodePropertiesWritten :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",The FastRPExtended algorithm produces node embeddings via random projection of nodes and their properties,READ,gds.beta.fastRPExtended.write.estimate,"gds.beta.fastRPExtended.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]","",READ,gds.beta.graph.generate,"gds.beta.graph.generate(graphName :: STRING?, nodeCount :: INTEGER?, averageDegree :: INTEGER?, configuration = {} :: MAP?) :: (name :: STRING?, nodes :: INTEGER?, relationships :: INTEGER?, generateMillis :: INTEGER?, relationshipSeed :: INTEGER?, averageDegree :: FLOAT?, relationshipDistribution :: ANY?, relationshipProperty :: ANY?)"
"[reader,editor,publisher,architect,admin]",The GraphSage algorithm inductively computes embeddings for nodes based on a their features and neighborhoods.,READ,gds.beta.graphSage.mutate,"gds.beta.graphSage.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (nodePropertiesWritten :: INTEGER?, mutateMillis :: INTEGER?, nodeCount :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",The GraphSage algorithm inductively computes embeddings for nodes based on a their features and neighborhoods.,READ,gds.beta.graphSage.mutate.estimate,"gds.beta.graphSage.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The GraphSage algorithm inductively computes embeddings for nodes based on a their features and neighborhoods.,READ,gds.beta.graphSage.stream,"gds.beta.graphSage.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, embedding :: LIST? OF FLOAT?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.graphSage.stream.estimate,"gds.beta.graphSage.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The GraphSage algorithm inductively computes embeddings for nodes based on a their features and neighborhoods.,READ,gds.beta.graphSage.train,"gds.beta.graphSage.train(graphName :: ANY?, configuration = {} :: MAP?) :: (graphName :: STRING?, graphCreateConfig :: MAP?, modelInfo :: MAP?, configuration :: MAP?, trainMillis :: INTEGER?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.graphSage.train.estimate,"gds.beta.graphSage.train.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",The GraphSage algorithm inductively computes embeddings for nodes based on a their features and neighborhoods.,WRITE,gds.beta.graphSage.write,"gds.beta.graphSage.write(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeCount :: INTEGER?, nodePropertiesWritten :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.graphSage.write.estimate,"gds.beta.graphSage.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The K-1 Coloring algorithm assigns a color to every node in the graph.,READ,gds.beta.k1coloring.mutate,"gds.beta.k1coloring.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, mutateMillis :: INTEGER?, nodeCount :: INTEGER?, colorCount :: INTEGER?, ranIterations :: INTEGER?, didConverge :: BOOLEAN?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.k1coloring.mutate.estimate,"gds.beta.k1coloring.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The K-1 Coloring algorithm assigns a color to every node in the graph.,READ,gds.beta.k1coloring.stats,"gds.beta.k1coloring.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, nodeCount :: INTEGER?, colorCount :: INTEGER?, ranIterations :: INTEGER?, didConverge :: BOOLEAN?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.k1coloring.stats.estimate,"gds.beta.k1coloring.stats.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The K-1 Coloring algorithm assigns a color to every node in the graph.,READ,gds.beta.k1coloring.stream,"gds.beta.k1coloring.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, color :: INTEGER?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.k1coloring.stream.estimate,"gds.beta.k1coloring.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",The K-1 Coloring algorithm assigns a color to every node in the graph.,WRITE,gds.beta.k1coloring.write,"gds.beta.k1coloring.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, nodeCount :: INTEGER?, colorCount :: INTEGER?, ranIterations :: INTEGER?, didConverge :: BOOLEAN?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.k1coloring.write.estimate,"gds.beta.k1coloring.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The k-nearest neighbor graph algorithm constructs relationships between nodes if the distance between two nodes is among the k nearest distances compared to other nodes.KNN computes distances based on the similarity of node properties,READ,gds.beta.knn.mutate,"gds.beta.knn.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, nodesCompared :: INTEGER?, relationshipsWritten :: INTEGER?, similarityDistribution :: MAP?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.knn.mutate.estimate,"gds.beta.knn.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Executes the algorithm and returns result statistics without writing the result to Neo4j.,READ,gds.beta.knn.stats,"gds.beta.knn.stats(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, nodesCompared :: INTEGER?, similarityPairs :: INTEGER?, similarityDistribution :: MAP?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.knn.stats.estimate,"gds.beta.knn.stats.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The k-nearest neighbor graph algorithm constructs relationships between nodes if the distance between two nodes is among the k nearest distances compared to other nodes.KNN computes distances based on the similarity of node properties,READ,gds.beta.knn.stream,"gds.beta.knn.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (node1 :: INTEGER?, node2 :: INTEGER?, similarity :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.knn.stream.estimate,"gds.beta.knn.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",The k-nearest neighbor graph algorithm constructs relationships between nodes if the distance between two nodes is among the k nearest distances compared to other nodes.KNN computes distances based on the similarity of node properties,WRITE,gds.beta.knn.write,"gds.beta.knn.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, nodesCompared :: INTEGER?, relationshipsWritten :: INTEGER?, similarityDistribution :: MAP?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.knn.write.estimate,"gds.beta.knn.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]","",DEFAULT,gds.beta.listProgress,"gds.beta.listProgress() :: (id :: STRING?, taskName :: STRING?, message :: STRING?)"
"[reader,editor,publisher,architect,admin]",Drops a loaded model and frees up the resources it occupies.,READ,gds.beta.model.drop,"gds.beta.model.drop(modelName :: STRING?) :: (modelInfo :: MAP?, trainConfig :: MAP?, graphSchema :: MAP?, loaded :: BOOLEAN?, stored :: BOOLEAN?, creationTime :: DATETIME?, shared :: BOOLEAN?)"
"[reader,editor,publisher,architect,admin]",Checks if a given model exists in the model catalog.,READ,gds.beta.model.exists,"gds.beta.model.exists(modelName :: STRING?) :: (modelName :: STRING?, modelType :: STRING?, exists :: BOOLEAN?)"
"[reader,editor,publisher,architect,admin]",Lists all models contained in the model catalog.,READ,gds.beta.model.list,"gds.beta.model.list(modelName = __NO_VALUE :: STRING?) :: (modelInfo :: MAP?, trainConfig :: MAP?, graphSchema :: MAP?, loaded :: BOOLEAN?, stored :: BOOLEAN?, creationTime :: DATETIME?, shared :: BOOLEAN?)"
"[reader,editor,publisher,architect,admin]",The Modularity Optimization algorithm groups the nodes in the graph by optimizing the graphs modularity.,READ,gds.beta.modularityOptimization.mutate,"gds.beta.modularityOptimization.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, nodes :: INTEGER?, didConverge :: BOOLEAN?, ranIterations :: INTEGER?, modularity :: FLOAT?, communityCount :: INTEGER?, communityDistribution :: MAP?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.modularityOptimization.mutate.estimate,"gds.beta.modularityOptimization.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Modularity Optimization algorithm groups the nodes in the graph by optimizing the graphs modularity.,READ,gds.beta.modularityOptimization.stream,"gds.beta.modularityOptimization.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (nodeId :: INTEGER?, communityId :: INTEGER?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.modularityOptimization.stream.estimate,"gds.beta.modularityOptimization.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",The Modularity Optimization algorithm groups the nodes in the graph by optimizing the graphs modularity.,WRITE,gds.beta.modularityOptimization.write,"gds.beta.modularityOptimization.write(graphName :: ANY?, configuration = {} :: MAP?) :: (createMillis :: INTEGER?, computeMillis :: INTEGER?, writeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, nodes :: INTEGER?, didConverge :: BOOLEAN?, ranIterations :: INTEGER?, modularity :: FLOAT?, communityCount :: INTEGER?, communityDistribution :: MAP?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.modularityOptimization.write.estimate,"gds.beta.modularityOptimization.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]","The A* shortest path algorithm computes the shortest path between a pair of nodes. It uses the relationship weight property to compare path lengths. In addition, this implementation uses the haversine distance as a heuristic to converge faster.",READ,gds.beta.shortestPath.astar.mutate,"gds.beta.shortestPath.astar.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (relationshipsWritten :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.shortestPath.astar.mutate.estimate,"gds.beta.shortestPath.astar.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]","The A* shortest path algorithm computes the shortest path between a pair of nodes. It uses the relationship weight property to compare path lengths. In addition, this implementation uses the haversine distance as a heuristic to converge faster.",READ,gds.beta.shortestPath.astar.stream,"gds.beta.shortestPath.astar.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (index :: INTEGER?, sourceNode :: INTEGER?, targetNode :: INTEGER?, totalCost :: FLOAT?, nodeIds :: LIST? OF INTEGER?, costs :: LIST? OF FLOAT?, path :: PATH?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.shortestPath.astar.stream.estimate,"gds.beta.shortestPath.astar.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]","The A* shortest path algorithm computes the shortest path between a pair of nodes. It uses the relationship weight property to compare path lengths. In addition, this implementation uses the haversine distance as a heuristic to converge faster.",WRITE,gds.beta.shortestPath.astar.write,"gds.beta.shortestPath.astar.write(graphName :: ANY?, configuration = {} :: MAP?) :: (relationshipsWritten :: INTEGER?, writeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.shortestPath.astar.write.estimate,"gds.beta.shortestPath.astar.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Dijkstra shortest path algorithm computes the shortest (weighted) path between a pair of nodes.,READ,gds.beta.shortestPath.dijkstra.mutate,"gds.beta.shortestPath.dijkstra.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (relationshipsWritten :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.shortestPath.dijkstra.mutate.estimate,"gds.beta.shortestPath.dijkstra.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Dijkstra shortest path algorithm computes the shortest (weighted) path between a pair of nodes.,READ,gds.beta.shortestPath.dijkstra.stream,"gds.beta.shortestPath.dijkstra.stream(graphName :: ANY?, configuration = {} :: MAP?) :: (index :: INTEGER?, sourceNode :: INTEGER?, targetNode :: INTEGER?, totalCost :: FLOAT?, nodeIds :: LIST? OF INTEGER?, costs :: LIST? OF FLOAT?, path :: PATH?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.shortestPath.dijkstra.stream.estimate,"gds.beta.shortestPath.dijkstra.stream.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[editor,publisher,architect,admin]",The Dijkstra shortest path algorithm computes the shortest (weighted) path between a pair of nodes.,WRITE,gds.beta.shortestPath.dijkstra.write,"gds.beta.shortestPath.dijkstra.write(graphName :: ANY?, configuration = {} :: MAP?) :: (relationshipsWritten :: INTEGER?, writeMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.shortestPath.dijkstra.write.estimate,"gds.beta.shortestPath.dijkstra.write.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
"[reader,editor,publisher,architect,admin]",The Yen's shortest path algorithm computes the k shortest (weighted) paths between a pair of nodes.,READ,gds.beta.shortestPath.yens.mutate,"gds.beta.shortestPath.yens.mutate(graphName :: ANY?, configuration = {} :: MAP?) :: (relationshipsWritten :: INTEGER?, mutateMillis :: INTEGER?, postProcessingMillis :: INTEGER?, createMillis :: INTEGER?, computeMillis :: INTEGER?, configuration :: MAP?)"
"[reader,editor,publisher,architect,admin]",Returns an estimation of the memory consumption for that procedure.,READ,gds.beta.shortestPath.yens.mutate.estimate,"gds.beta.shortestPath.yens.mutate.estimate(graphName :: ANY?, configuration = {} :: MAP?) :: (requiredMemory :: STRING?, treeView :: STRING?, mapView :: MAP?, bytesMin :: INTEGER?, bytesMax :: INTEGER?, nodeCount :: INTEGER?, relationshipCount :: INTEGER?, heapPercentageMin :: FLOAT?, heapPercentageMax :: FLOAT?)"
